id,isfraud,fraudpattern,srcvalue,srcfontstyle,srcfontsize,srcfontcolor,srcbbox,desvalue,desfontstyle,desfontsize,desfontcolor,desbbox,srcname,srcregionvalue,srcregionfontstyle,srcregionfontsize,srcregionfontcolor,srcregionbbox,srcshift,desname,desregionvalue,desregionfontstyle,desregionfontsize,desregionfontcolor,desregionbbox,desshift,real_id,id_meta,name,address,birthday,gender,ethnicity,class,issue_date,expire_date,height,weight,eye_color,hair_color,is_donor,is_veteran,license_number,id_stripped
generated_fake_2_66,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0686847.png,03/03/2023,Arial_Bold.ttf,14.0,"[31, 27, 34]","[215, 109, 287, 123]","[[8, 1], [3, 7]]",generated.photos_v3_0347079.png,C,Arial_Bold.ttf,14.0,"[45, 36, 46]","[170, 284, 180, 298]","[[3, 7], [8, 1]]",generated,,,,,,,,,,,,,,,,,
generated_fake_2_72,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0857670.png,199 lb,Arial_Bold.ttf,15.0,"[23, 42, 33]","[332, 254, 373, 269]","[[8, 5], [6, 9]]",generated.photos_v3_0471219.png,ARIANA,Arial_Bold.ttf,16.0,"[24, 43, 32]","[183, 155, 247, 171]","[[6, 9], [8, 5]]",generated,,,,,,,,,,,,,,,,,
generated.photos_v3_0011839_fake_5540,True,Fraud5_inpaint_and_rewrite,833 S. 7TH STREET,Arial_Bold.ttf,14.0,"[47, 38, 42]","[184, 199, 315, 213]",833 S. 7TH STREET,DejaVuSerif-BoldItalic.ttf,11.0,"[0, 0, 0]","[184, 199, 315, 213]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0011839,generated.photos_v3_0011839,Nori Guo,"833 S. 7th Street, Cottonwood, AZ 86326",1997-11-19,F,asian,C,2021-11-30,2026-11-30,7'-01'',166 lb,BRO,BRO,False,False,D15372505,generated.photos_v3_0011839
generated_fake_2_99,True,Fraud6_crop_and_replace,,,,[],[],,,,[],[],generated.photos_v3_0987841.png,B,Arial_Bold.ttf,14.0,"[45, 36, 46]","[170, 284, 180, 298]","[[4, 7], [8, 9]]",generated.photos_v3_0155912.png,B,Arial_Bold.ttf,14.0,"[45, 36, 46]","[170, 284, 180, 298]","[[8, 9], [4, 7]]",generated,,,,,,,,,,,,,,,,,
generated.photos_v3_0015467_fake_3788,True,Fraud5_inpaint_and_rewrite,D29721273,Arial_Bold.ttf,21.0,"[36, 36, 36]","[211, 79, 322, 100]",D29721273,DejaVuSerifCondensed-BoldItalic.ttf,18.0,"[0, 0, 0]","[211, 79, 322, 100]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0015467,generated.photos_v3_0015467,Peng Rahman,"809 Stone Avenue, Tucson, AZ 85701",1994-12-31,M,asian,D,2020-06-27,2025-06-27,5'-04'',187 lb,BRO,BRO,False,False,D29721273,generated.photos_v3_0015467
generated.photos_v3_0018393_fake_3904,True,Fraud5_inpaint_and_rewrite,5'-07'',Arial_Bold.ttf,15.0,"[47, 40, 52]","[225, 254, 266, 269]",5'-07'',DejaVuSans-Oblique.ttf,12.0,"[0, 0, 0]","[225, 254, 266, 269]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0018393,generated.photos_v3_0018393,Suresh Abe,"5715 Houghton Road, Sahuarita, AZ 85629",1999-03-28,M,asian,D,2022-08-10,2027-08-10,5'-07'',198 lb,BRO,BLK,False,False,D45261508,generated.photos_v3_0018393
generated.photos_v3_0017712_fake_3568,True,Fraud5_inpaint_and_rewrite,03/20/91,Arial_Bold.ttf,14.0,"[149, 156, 130]","[498, 324, 554, 338]",03/20/91,DejaVuSerifCondensed-Italic.ttf,13.0,"[0, 0, 0]","[498, 324, 554, 338]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0017712,generated.photos_v3_0017712,Leah Scott,"2203 Yuma Road, Buckeye, AZ 85326",1991-03-20,F,white,B,2023-09-23,2028-09-23,5'-04'',192 lb,BRO,BRO,False,True,D41823091,generated.photos_v3_0017712
generated.photos_v3_0015584_fake_3329,True,Fraud5_inpaint_and_rewrite,5'-05'',Arial_Bold.ttf,15.0,"[47, 40, 52]","[225, 254, 266, 269]",5'-05'',DejaVuSansMono-Oblique.ttf,9.0,"[0, 0, 0]","[225, 254, 266, 269]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0015584,generated.photos_v3_0015584,Seung Liu,"72 Alameda Street, Tucson, AZ 85701",1997-05-28,M,asian,C,2020-09-08,2025-09-08,5'-05'',211 lb,BRO,BRO,True,False,D46137110,generated.photos_v3_0015584
generated.photos_v3_0017285_fake_2243,True,Fraud5_inpaint_and_rewrite,09/12/2025,Arial_Bold.ttf,21.0,"[54, 38, 42]","[426, 79, 534, 100]",09/12/2025,DejaVuMathTeXGyre.ttf,18.0,"[0, 0, 0]","[426, 79, 534, 100]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0017285,generated.photos_v3_0017285,Adrian Alvarez,"95 Bella Sera Drive, Bullhead City, AZ 86442",1984-08-17,M,latino,B,2020-09-12,2025-09-12,5'-04'',217 lb,BRO,BRO,False,False,D47331437,generated.photos_v3_0017285
generated.photos_v3_0009540_fake_1187,True,Fraud5_inpaint_and_rewrite,CRUZ,Arial_Bold.ttf,16.0,"[20, 45, 31]","[183, 129, 229, 145]",CRUZ,DejaVuSans-Bold.ttf,14.0,"[0, 0, 0]","[183, 129, 229, 145]",,,,,[],[],[],,,,,[],[],[],generated.photos_v3_0009540,generated.photos_v3_0009540,Alyssa Cruz,"2885 Otero Avenue, Bisbee, AZ 85603",1996-05-06,F,latino,B,2021-04-20,2026-04-20,5'-04'',101 lb,BRO,BRO,True,False,D05351988,generated.photos_v3_0009540
