desshift,id,desvalue,address,hair_color,license_number,desfontcolor,srcregionfontcolor,srcfontsize,desname,srcfontstyle,srcregionfontsize,srcregionbbox,desregionbbox,name,srcvalue,desregionfontcolor,srcfontcolor,srcbbox,desfontsize,desregionvalue,fraudpattern,desbbox,ethnicity,eye_color,desfontstyle,id_stripped,desregionfontsize,is_donor,srcregionfontstyle,is_fraud,weight,expire_date,birthday,desregionfontstyle,height,issue_date,class,srcregionvalue,gender,srcname,srcshift,is_veteran
"[[3, 7], [8, 1]]",generated_fake_2_66,,,,,[],"[31, 27, 34]",,generated.photos_v3_0347079.png,,14.0,"[215, 109, 287, 123]","[170, 284, 180, 298]",,,"[45, 36, 46]",[],[],,C,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,03/03/2023,,generated.photos_v3_0686847.png,"[[8, 1], [3, 7]]",
"[[6, 9], [8, 5]]",generated_fake_2_72,,,,,[],"[23, 42, 33]",,generated.photos_v3_0471219.png,,15.0,"[332, 254, 373, 269]","[183, 155, 247, 171]",,,"[24, 43, 32]",[],[],,ARIANA,Fraud6_crop_and_replace,[],,,,,16.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,199 lb,,generated.photos_v3_0857670.png,"[[8, 5], [6, 9]]",
[],generated.photos_v3_0011839_fake_5540,833 S. 7TH STREET,"833 S. 7th Street, Cottonwood, AZ 86326",BRO,D15372505,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Nori Guo,833 S. 7TH STREET,[],"[47, 38, 42]","[184, 199, 315, 213]",11.0,,Fraud5_inpaint_and_rewrite,"[184, 199, 315, 213]",asian,BRO,DejaVuSerif-BoldItalic.ttf,generated.photos_v3_0011839,,False,,True,166 lb,2026-11-30,1997-11-19,,7'-01'',2021-11-30,C,,F,,[],False
"[[8, 9], [4, 7]]",generated_fake_2_99,,,,,[],"[45, 36, 46]",,generated.photos_v3_0155912.png,,14.0,"[170, 284, 180, 298]","[170, 284, 180, 298]",,,"[45, 36, 46]",[],[],,B,Fraud6_crop_and_replace,[],,,,,14.0,,Arial_Bold.ttf,True,,,,Arial_Bold.ttf,,,,B,,generated.photos_v3_0987841.png,"[[4, 7], [8, 9]]",
[],generated.photos_v3_0015467_fake_3788,D29721273,"809 Stone Avenue, Tucson, AZ 85701",BRO,D29721273,"[0, 0, 0]",[],21.0,,Arial_Bold.ttf,,[],[],Peng Rahman,D29721273,[],"[36, 36, 36]","[211, 79, 322, 100]",18.0,,Fraud5_inpaint_and_rewrite,"[211, 79, 322, 100]",asian,BRO,DejaVuSerifCondensed-BoldItalic.ttf,generated.photos_v3_0015467,,False,,True,187 lb,2025-06-27,1994-12-31,,5'-04'',2020-06-27,D,,M,,[],False
[],generated.photos_v3_0018393_fake_3904,5'-07'',"5715 Houghton Road, Sahuarita, AZ 85629",BLK,D45261508,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Suresh Abe,5'-07'',[],"[47, 40, 52]","[225, 254, 266, 269]",12.0,,Fraud5_inpaint_and_rewrite,"[225, 254, 266, 269]",asian,BRO,DejaVuSans-Oblique.ttf,generated.photos_v3_0018393,,False,,True,198 lb,2027-08-10,1999-03-28,,5'-07'',2022-08-10,D,,M,,[],False
[],generated.photos_v3_0017712_fake_3568,03/20/91,"2203 Yuma Road, Buckeye, AZ 85326",BRO,D41823091,"[0, 0, 0]",[],14.0,,Arial_Bold.ttf,,[],[],Leah Scott,03/20/91,[],"[149, 156, 130]","[498, 324, 554, 338]",13.0,,Fraud5_inpaint_and_rewrite,"[498, 324, 554, 338]",white,BRO,DejaVuSerifCondensed-Italic.ttf,generated.photos_v3_0017712,,False,,True,192 lb,2028-09-23,1991-03-20,,5'-04'',2023-09-23,B,,F,,[],True
[],generated.photos_v3_0015584_fake_3329,5'-05'',"72 Alameda Street, Tucson, AZ 85701",BRO,D46137110,"[0, 0, 0]",[],15.0,,Arial_Bold.ttf,,[],[],Seung Liu,5'-05'',[],"[47, 40, 52]","[225, 254, 266, 269]",9.0,,Fraud5_inpaint_and_rewrite,"[225, 254, 266, 269]",asian,BRO,DejaVuSansMono-Oblique.ttf,generated.photos_v3_0015584,,True,,True,211 lb,2025-09-08,1997-05-28,,5'-05'',2020-09-08,C,,M,,[],False
[],generated.photos_v3_0017285_fake_2243,09/12/2025,"95 Bella Sera Drive, Bullhead City, AZ 86442",BRO,D47331437,"[0, 0, 0]",[],21.0,,Arial_Bold.ttf,,[],[],Adrian Alvarez,09/12/2025,[],"[54, 38, 42]","[426, 79, 534, 100]",18.0,,Fraud5_inpaint_and_rewrite,"[426, 79, 534, 100]",latino,BRO,DejaVuMathTeXGyre.ttf,generated.photos_v3_0017285,,False,,True,217 lb,2025-09-12,1984-08-17,,5'-04'',2020-09-12,B,,M,,[],False
[],generated.photos_v3_0009540_fake_1187,CRUZ,"2885 Otero Avenue, Bisbee, AZ 85603",BRO,D05351988,"[0, 0, 0]",[],16.0,,Arial_Bold.ttf,,[],[],Alyssa Cruz,CRUZ,[],"[20, 45, 31]","[183, 129, 229, 145]",14.0,,Fraud5_inpaint_and_rewrite,"[183, 129, 229, 145]",latino,BRO,DejaVuSans-Bold.ttf,generated.photos_v3_0009540,,True,,True,101 lb,2026-04-20,1996-05-06,,5'-04'',2021-04-20,B,,F,,[],False
